,nature,sabquesada,alixearle,fcbarcelona,fitness,faithordway7,cooking,ishowspeed,minecraft,basketball,kevwithin,isaakpresley,brookemonk_,colbyschnacky,onlyjayus,dayynaa,breckiehill,lilnasx,fcbayern,haleyybaylee,sydneyvmay,cute cats,meredithduxbury,jostasy,elliezeiler,youneszarou,derkslurp,shangerdanger,antoniolievano,paulinat,lgndfrvr,kingbach,datrie,newt,calebcoffee,rhia.official,nickaufmann,charlieputh,lilyxgarcia,partyshirt,garyvee,itzshauni,theyknowgeo,tiffandchan,yoitz_isaac,quenblackwell,grandadjoe1933,jamescharles,chipgirlhere,paulfoisy,noahschnapp,d_shaba,officialautumnrose,nicolelaeno,rosssmith,coileray,its.marianne.faith,thesalguerofam,readchoi,paigezilba,celia_7721,athenafawn,rug,rauld33,victoriabachlet,nataliejanesings,miwmiucat,allieschnacky,kamtunechi,zsmittty,wizardblazd,robbieroket,vicblends,larobenz,derektrendz,lionfieldmusic,glitterandlazers,sofiaelizabeths,enews,hanbity,esthalla,iamkengi1,bobbie,nintendo.grl,damedamian,kaileenleilani,batzair,brenna.kaci,insecthaus_adi,reedtwinz,campuzanoabelardo,miyaevarenae,frankielapenna,therealclaybaby,tatyanddavon,lukasrieger,mjgrimsley1001,xowiejones,demibagby
23-03-01,0,8,93,0,0,13,0,0,0,0,0.0,7,4,0,719,3,0.0,1157,0,120,596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-02,0,4,13,0,0,97,0,0,0,0,0.0,17,11,0,13971,3,0.0,5,0,392,132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-03,0,4,143,0,0,65,0,0,0,0,0.0,32,18,0,12785,6,0.0,8,0,1566,212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-04,0,13,111,0,0,15,5,1,13,1528,0.0,14,28,1,81,0,29.0,30,0,155,436,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-05,0,34,39,0,0,20,8,5,202,45,0.0,12,111,1,74,0,112.0,34,0,265,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-06,0,10,25,0,0,20,7,2,364,31,0.0,15,621,2,8,0,153.0,37,0,744,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-07,0,1,177,0,0,33,5,9,1066,45,0.0,9,490,7,6,0,103.0,21,0,519,30,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-08,0,3,141,0,0,16,1,11,20,19,0.0,6,429,16,1,0,122.0,31,0,478,56,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-09,0,2,31,0,0,14,25,3,35,27,0.0,19,1049,14,21,0,129.0,27,0,208,42,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-03-10,0,8,53,0,0,19,11,1,18,42,0.0,22,1107,23,11,0,179.0,25,0,74,62,604,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
